Comment,Designator,Footprint,LCSC
,H4,MountingHole_2.2mm_M2,
,H3,MountingHole_2.2mm_M2,
,H2,MountingHole_2.2mm_M2,
,H1,MountingHole_2.2mm_M2,
,RESET1,MountingHole_2.2mm_M2,
